id;time
664;299.68
665;284.772
666;303.903
667;295.384
668;304.079
669;297.105
670;291.339
671;291.481
672;304.531
673;291.647
674;304.842
675;291.88
676;305.414
677;305.832
678;306.266
679;306.421
680;306.975
681;293.964
682;305.931
683;311.492
684;311.099
685;298.257
686;309.972
687;310.156
688;314.788
689;316.074
690;315.716
691;309.426
692;315.897
693;302.698
694;315.936
695;304.947
696;318.624
697;317.347
698;317.526
699;308.812
700;320.438
701;307.597
702;323.594
703;323.886
704;310.152
705;308.214
706;324.703
707;311.399
708;311.837
709;311.938
710;312.631
711;312.199
712;313.247
713;312.848
714;314.592
715;315.831
716;315.403
717;329.123
718;323.62
719;315.898
720;332.085
721;316.469
722;316.599
723;325.077
724;318.477
725;317.913
726;332.029
727;326.989
728;318.475
729;332.242
730;334.568
731;318.882
732;319.795
733;319.17
734;321.228
735;321.281
736;320.68
737;331.8
738;322.175
739;321.568
740;322.506
741;323.407
742;322.431
743;337.188
744;337.35
745;322.754
746;324.376
747;324.631
748;323.942
749;325.58
750;334.082
751;331.958
752;324.7
753;326.949
754;327.195
755;325.952
756;327.909
757;341.732
758;336.459
759;342.411
760;342.456
761;326.843
762;342.314
763;342.426
764;329.85
765;344.978
766;331.93
767;332.136
768;329.944
769;332.803
770;345.874
771;330.375
772;348.231
773;347.44
774;330.927
775;349.423
776;334.672
777;349.656
778;347.609
779;335.111
780;332.536
781;336.851
782;336.952
783;337.545
784;349.029
785;353.037
786;353.471
787;339.183
788;339.124
789;336.673
790;340.199
791;353.963
792;355.539
793;354.124
794;341.939
795;341.204
796;354.989
797;355.238
798;342.398
799;342.52
800;356.295
801;351.376
802;342.052
803;343.526
804;343.67
805;347.968
806;346.113
807;344.738
808;346.279
809;344.279
810;344.364
811;347.483
812;347.596
813;363.327
814;349.684
815;363.625
816;363.663
817;347.728
818;351.727
819;351.832
820;352.311
821;366.321
822;350.334
823;353.567
824;353.741
825;350.834
826;354.113
827;368.386
828;362.533
829;355.931
830;355.901
831;356.246
832;358.934
833;355.025
834;355.322
835;357.561
836;371.324
837;357.9
838;355.116
839;358.46
840;366.143
841;358.763
842;359.386
843;359.797
844;374.952
845;372.875
846;360.139
847;368.535
848;360.745
849;369.468
850;361.077
851;359.51
852;359.116
853;369.709
854;362.481
855;363.11
856;363.328
857;365.108
858;365.283
859;365.612
860;379.585
861;367.387
862;367.629
863;367.835
864;381.985
865;366.653
866;369.595
867;383.502
868;372.341
869;385.487
870;372.726
871;386.352
872;370.959
873;371.579
874;382.258
875;371.722
876;387.092
877;372.087
878;373.664
879;376.421
880;376.514
881;390.014
882;385.196
883;377.163
884;375.877
885;377.87
886;378.105
887;387.776
888;377.631
889;389.476
890;379.244
891;384.593
892;384.664
893;398.567
894;399.276
895;388.085
896;388.041
897;386.403
898;386.519
899;386.628
900;386.956
901;404.384
902;387.058
903;402.841
904;387.294
905;405.736
906;396.568
907;396.326
908;396.792
909;410.498
910;413.895
911;400.374
912;400.129
913;400.324
914;400.404
915;400.374
916;398.964
917;400.998
918;400.706
919;400.715
920;400.736
921;415.27
922;402.125
923;403.106
924;402.551
925;401.087
926;404.686
927;406.432
928;401.917
929;406.504
930;420.981
931;404.866
932;405.552
933;430.636
934;429.242
935;418.525
936;434.158
937;431.775
938;434.314
939;434.466
940;430.914
941;434.722
942;418.866
943;419.891
944;431.239
945;431.538
946;433.405
947;431.715
948;419.585
949;431.906
950;433.823
951;432.029
952;420.029
953;432.23
954;419.746
955;434.229
956;420.407
957;420.058
958;434.5
959;434.424
960;434.527
961;419.291
962;420.708
963;434.819
964;419.559
965;434.924
966;419.76
967;421.236
968;435.918
969;435.613
970;420.527
971;421.731
972;436.603
973;421.36
974;422.472
975;437.075
976;423.629
977;422.748
978;437.526
979;422.531
980;423.215
981;425.03
982;423.049
983;436.301
984;425.179
985;423.532
986;436.573
987;424.536
988;422.695
989;438.464
990;436.574
991;424.77
992;436.626
993;438.645
994;436.721
995;425.793
996;436.845
997;423.924
998;425.142
999;437.211
1000;439.015
1001;437.144
1002;423.578
1003;437.317
1004;439.15
1005;437.632
1006;423.873
1007;437.779
1008;424.562
1009;437.926
1010;423.877
1011;437.971
1012;424.819
1013;424.69
1014;438.152
1015;439.829
1016;424.971
1017;425.198
1018;425.201
1019;440.345
1020;425.117
1021;425.233
1022;424.835
1023;425.346
1024;425.524
1025;428.072
1026;425.728
1027;441.252
1028;425.54
1029;428.342
1030;426.782
1031;425.537
1032;426.084
1033;441.56
1034;428.087
1035;442.13
1036;428.285
1037;426.495
1038;429.881
1039;429.321
1040;428.0
1041;428.703
1042;421.452
1043;431.197
1044;429.866
1045;446.158
1046;430.144
1047;433.293
1048;431.914
